sample_id,method,median_seconds,min_seconds,max_seconds,common_preprocess_median_seconds,fixed_graph_end_to_end_median_seconds,warmup_python_peak_bytes,endpoint_optimizations
controlled-v1/canonical_weth_1to1/03,FULL_INTERVAL,0.025945400004275143,0.020999500004108995,0.031578800000716,5.639999289996922e-05,0.026001799997175112,50947,6
controlled-v1/canonical_weth_1to1/03,BOUNDED_REACHABILITY,0.0005516999954124913,0.0001615999935893342,0.0005825999978696927,5.639999289996922e-05,0.0006080999883124605,14203,0
controlled-v1/canonical_weth_1to1/03,POISON,0.0005144000024301931,0.0003799999976763502,0.000635899996268563,5.639999289996922e-05,0.0005707999953301623,14926,0
controlled-v1/canonical_weth_1to1/03,HAIRCUT,0.0005628000071737915,0.000304599991068244,0.0008357000042451546,5.639999289996922e-05,0.0006192000000737607,21544,0
controlled-v1/canonical_weth_1to1/04,FULL_INTERVAL,0.008500500000081956,0.005570699999225326,0.01188689999980852,1.4000004739500582e-05,0.008514500004821457,32714,2
controlled-v1/canonical_weth_1to1/04,BOUNDED_REACHABILITY,0.0003938000008929521,0.0001677999971434474,0.000559899999643676,1.4000004739500582e-05,0.00040780000563245267,11689,0
controlled-v1/canonical_weth_1to1/04,POISON,0.0004288000054657459,0.0001770999951986596,0.0006313999911071733,1.4000004739500582e-05,0.0004428000102052465,12159,0
controlled-v1/canonical_weth_1to1/04,HAIRCUT,0.0005575000104727224,0.00023040000814944506,0.0006265000120038167,1.4000004739500582e-05,0.0005715000152122229,18306,0
controlled-v1/canonical_weth_1to1/04,NO_CROSS_TARGET_COUPLING,0.008437299999059178,0.008134899995638989,0.009516699996311218,1.4000004739500582e-05,0.008451300003798679,41178,2
controlled-v1/canonical_weth_1to1/04,NO_PROTOCOL_CONTINUATION,0.008598200001870282,0.00813979998929426,0.008975499993539415,1.4000004739500582e-05,0.008612200006609783,32463,2
controlled-v1/canonical_weth_1to1/04,BALANCE_INFORMATION_REMOVED,0.008080999992671423,0.0067992999975103885,0.009956000008969568,1.4000004739500582e-05,0.008094999997410923,33794,2
controlled-v1/canonical_weth_1to1/05,NO_PROTOCOL_CONTINUATION,0.027793100001872517,0.025223999997251667,0.027979400008916855,1.5600002370774746e-05,0.027808700004243292,50522,6
controlled-v1/canonical_weth_1to1/05,BALANCE_INFORMATION_REMOVED,0.02542659999744501,0.023334999990765937,0.027336799990735017,1.5600002370774746e-05,0.025442199999815784,52106,6
controlled-v1/canonical_weth_1to1/05,FULL_INTERVAL,0.02899489999981597,0.022893500005011447,0.03178010000556242,1.5600002370774746e-05,0.029010500002186745,51087,6
controlled-v1/canonical_weth_1to1/05,BOUNDED_REACHABILITY,0.00044630000775214285,0.00016789999790489674,0.0005035000067437068,1.5600002370774746e-05,0.0004619000101229176,14395,0
controlled-v1/canonical_weth_1to1/05,POISON,0.0003757999947993085,0.00035370000114198774,0.0004074000025866553,1.5600002370774746e-05,0.0003913999971700832,15113,0
controlled-v1/canonical_weth_1to1/05,HAIRCUT,0.0003257999924244359,0.0002339000056963414,0.000982600002316758,1.5600002370774746e-05,0.00034139999479521066,21577,0
controlled-v1/canonical_weth_1to1/05,NO_CROSS_TARGET_COUPLING,0.017853000012109987,0.01673599999048747,0.01930949999950826,1.5600002370774746e-05,0.017868600014480762,57673,4
controlled-v1/canonical_weth_1to1/06,FULL_INTERVAL,0.007981599992490374,0.007746199989924207,0.009154600003967062,6.049999501556158e-05,0.008042099987505935,32804,2
controlled-v1/canonical_weth_1to1/06,BOUNDED_REACHABILITY,0.0002812000020639971,0.0001584999990882352,0.0003080000024056062,6.049999501556158e-05,0.00034169999707955867,11685,0
controlled-v1/canonical_weth_1to1/06,POISON,0.00028480000037234277,0.00028079999901819974,0.0003429999924264848,6.049999501556158e-05,0.00034529999538790435,12149,0
